# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -300 ps, Average over 80 waveforms. Date: 2023-3-20
# Time [ps] 	 THz Signal [a.u.]
-272.13405549	-0.00554732
-272.10069908	-0.00503748
-272.06734267	-0.00579873
-272.03398626	-0.00452299
-272.00062985	-0.00572812
-271.96727344	-0.00525643
-271.93391703	-0.00450667
-271.90056062	-0.00423736
-271.86720421	-0.00452647
-271.83384780	-0.00484312
-271.80049139	-0.00484525
-271.76713498	-0.00399473
-271.73377857	-0.00442401
-271.70042216	-0.00406341
-271.66706575	-0.00536707
-271.63370934	-0.00631072
-271.60035293	-0.00488325
-271.56699653	-0.00628542
-271.53364012	-0.00466305
-271.50028371	-0.00615079
-271.46692730	-0.00491367
-271.43357089	-0.00517807
-271.40021448	-0.00481951
-271.36685807	-0.00514128
-271.33350166	-0.00564923
-271.30014525	-0.00644096
-271.26678884	-0.00649748
-271.23343243	-0.00572831
-271.20007602	-0.00568874
-271.16671961	-0.00510063
-271.13336320	-0.00607384
-271.10000679	-0.00528447
-271.06665038	-0.00649985
-271.03329397	-0.00569195
-270.99993756	-0.00678252
-270.96658115	-0.00541347
-270.93322474	-0.00632579
-270.89986833	-0.00571023
-270.86651193	-0.00554422
-270.83315552	-0.00531103
-270.79979911	-0.00575158
-270.76644270	-0.00636518
-270.73308629	-0.00530741
-270.69972988	-0.00559763
-270.66637347	-0.00562743
-270.63301706	-0.00516746
-270.59966065	-0.00519501
-270.56630424	-0.00609213
-270.53294783	-0.00649285
-270.49959142	-0.00649796
-270.46623501	-0.00591248
-270.43287860	-0.00565512
-270.39952219	-0.00621489
-270.36616578	-0.00685129
-270.33280937	-0.00614467
-270.29945296	-0.00680998
-270.26609655	-0.00605756
-270.23274014	-0.00645030
-270.19938373	-0.00605547
-270.16602733	-0.00537895
-270.13267092	-0.00565618
-270.09931451	-0.00552442
-270.06595810	-0.00594179
-270.03260169	-0.00556534
-269.99924528	-0.00563114
-269.96588887	-0.00621584
-269.93253246	-0.00543252
-269.89917605	-0.00589398
-269.86581964	-0.00574295
-269.83246323	-0.00613972
-269.79910682	-0.00652992
-269.76575041	-0.00630318
-269.73239400	-0.00641859
-269.69903759	-0.00627112
-269.66568118	-0.00637005
-269.63232477	-0.00649668
-269.59896836	-0.00602003
-269.56561195	-0.00716999
-269.53225554	-0.00544045
-269.49889914	-0.00595424
-269.46554273	-0.00628248
-269.43218632	-0.00665543
-269.39882991	-0.00586031
-269.36547350	-0.00628691
-269.33211709	-0.00561742
-269.29876068	-0.00641584
-269.26540427	-0.00583056
-269.23204786	-0.00596262
-269.19869145	-0.00691453
-269.16533504	-0.00550583
-269.13197863	-0.00600718
-269.09862222	-0.00727101
-269.06526581	-0.00532896
-269.03190940	-0.00617689
-268.99855299	-0.00623865
-268.96519658	-0.00563638
-268.93184017	-0.00592365
-268.89848376	-0.00626136
-268.86512735	-0.00642399
-268.83177094	-0.00598891
-268.79841454	-0.00681869
-268.76505813	-0.00726219
-268.73170172	-0.00675970
-268.69834531	-0.00627159
-268.66498890	-0.00618412
-268.63163249	-0.00644116
-268.59827608	-0.00624074
-268.56491967	-0.00599838
-268.53156326	-0.00671430
-268.49820685	-0.00662469
-268.46485044	-0.00653918
-268.43149403	-0.00622630
-268.39813762	-0.00578833
-268.36478121	-0.00669413
-268.33142480	-0.00651238
-268.29806839	-0.00699722
-268.26471198	-0.00582446
-268.23135557	-0.00554521
-268.19799916	-0.00599043
-268.16464275	-0.00620489
-268.13128634	-0.00625108
-268.09792994	-0.00613644
-268.06457353	-0.00709584
-268.03121712	-0.00680076
-267.99786071	-0.00616971
-267.96450430	-0.00632523
-267.93114789	-0.00609890
-267.89779148	-0.00584069
-267.86443507	-0.00625027
-267.83107866	-0.00637622
-267.79772225	-0.00703708
-267.76436584	-0.00629126
-267.73100943	-0.00692307
-267.69765302	-0.00622201
-267.66429661	-0.00719009
-267.63094020	-0.00677772
-267.59758379	-0.00638324
-267.56422738	-0.00570827
-267.53087097	-0.00599756
-267.49751456	-0.00626707
-267.46415815	-0.00705472
-267.43080174	-0.00581018
-267.39744534	-0.00612689
-267.36408893	-0.00505130
-267.33073252	-0.00656514
-267.29737611	-0.00588910
-267.26401970	-0.00661626
-267.23066329	-0.00603359
-267.19730688	-0.00645932
-267.16395047	-0.00559037
-267.13059406	-0.00705693
